,title,genres,rating,rating_voters,season,studio,origin,pg,type,episode_count
483,"Небо, где встретились звёзды",Драма;Повседневность;Спорт;Школа,9.1,2353.0,Осень 2019,8bit,ТВ Сериал,18+,ТВ Сериал,12
484,Башня Бога,Детектив;Драма;Приключения;Фэнтези;Экшен,8.8,21574.0,Весна 2020,Telecom Animation Film,ТВ Сериал,16+,ТВ Сериал,13
485,Ангельские ритмы! Другой эпилог,Драма;Сверхъестественное;Школа,8.4,1442.0,,P.A. Works,Спешл,16+,Спешл,1
486,Божественные куклы: Спешлы,Комедия,,,,Brains Base,Спешл,16+,Спешл,6
487,Динхайские хроники иного мира,Фэнтези;Экшен,6.6,187.0,,Shanghai Foch Film Culture Investment,ONA,16+,ONA,12
488,Ванпанчмен: Путь к становлению героем,Комедия;Пародия;Сверхъестественное;Супер сила;Сэйнэн;Фантастика;Экшен,9.0,5892.0,,Madhouse Studios,OVA,18+,OVA,1
489,Селектор: Заражение «WIXOSS»,Игры;Психологическое,7.5,268.0,Весна 2014,,ТВ Сериал,18+,ТВ Сериал,12
490,91 изумление,Исторический;Комедия,6.2,178.0,,Studio Shuka,Спешл,16+,Спешл,7
491,"И все же, грешник танцует с драконом",Драма;Фантастика;Фэнтези;Экшен,7.1,357.0,Весна 2018,Seven Arcs Pictures,ТВ Сериал,18+,ТВ Сериал,12
492,Скитальцы OVA,Исторический;Комедия;Приключения;Самураи;Сэйнэн;Фэнтези;Экшен,8.7,797.0,,Hoods Drifters Studio,OVA,18+,OVA,2
493,Персона 3 фильм 2: Мечта летнего рыцаря,Сверхъестественное;Фэнтези;Экшен,7.5,163.0,,A-1 Pictures Inc.,Фильм,18+,Фильм,1
494,Цугумомо OVA,Комедия;Сверхъестественное;Сэйнэн;Школа;Экшен;Этти,8.3,378.0,,,OVA,18+,OVA,1
495,Евангелион 3.0+1.01: Как-то раз,Драма;Меха;Психологическое;Фантастика;Экшен,8.8,4022.0,,Studio Khara,Фильм,16+,Фильм,1
496,Король огненной охоты,Фэнтези,7.9,839.0,Зима 2023,Signal. MD,ТВ Сериал,16+,ТВ Сериал,10
497,Бубуки Буранки: Звезда гигантов,Драма;Меха;Фантастика;Экшен,4.9,125.0,Осень 2016,SANZIGEN,ТВ Сериал,16+,ТВ Сериал,12
498,Биско-ржавоед,Приключения;Фантастика;Фэнтези;Экшен,8.5,10858.0,Зима 2022,Студийная Банда,ТВ Сериал,16+,ТВ Сериал,12
499,Восемьдесят шесть,Военное;Драма;Меха;Фантастика;Экшен,9.2,18763.0,Весна 2021,A-1 Pictures Inc.,ТВ Сериал,18+,ТВ Сериал,11
500,Другой мир не может противостоять силе мгновенной смерти,Приключения;Фэнтези;Экшен,7.4,8084.0,Зима 2024,,ТВ Сериал,16+,ТВ Сериал,12
501,Моб Психо 100 3,Комедия;Сверхъестественное;Супер сила;Экшен,9.3,11981.0,Осень 2022,Bones,ТВ Сериал,16+,ТВ Сериал,12
